Number,Kanji
1,一
2,二
3,三
5,子
6,女
7,好
9,口
10,品
11,言
12,下
13,不
14,否
15,十
16,古
18,計
20,七
23,日
29,早
31,白
32,皆
33,水
37,泳
41,月
43,明
46,朝
47,火
50,談
53,可
56,田
57,町
60,入
61,人
62,何
63,信
64,化
65,花
66,苦
67,草
70,内
71,肉
72,円
73,市
75,姉
76,目
79,自
84,方
85,万
86,訪
92,文
94,済
96,収
98,心
99,必
100,怒
101,息
102,思
104,亡
105,忙
106,忘
113,悪
114,夕
115,多
116,夢
117,夜
119,名
120,死
122,外
123,上
126,点
128,宅
129,安
130,字
133,八
135,六
138,公
140,台
141,治
142,始
144,能
149,立
151,幸
154,位
155,音
157,暗
158,意
163,間
164,問
166,前
167,切
171,分
176,認
177,力
178,加
181,努
182,男
183,九
184,究
188,小
189,少
193,京
195,景
196,示
217,係
220,用
225,千
227,話
228,活
229,辞
231,半
232,判
234,平
236,呼
237,土
240,黒
248,仕
255,老
257,者
259,緒
272,馬
273,止
276,歩
279,足
282,正
284,定
287,走
290,駅
291,昼
294,手
299,払
301,指
302,打
303,招
310,耳
311,取
312,最
315,恥
316,聞
318,折
327,作
328,昨
330,近
333,込
334,達
335,進
337,木
340,本
341,体
342,休
347,新
348,集
352,相
353,箱
354,想
356,果
359,東
362,杯
368,雑
371,和
373,私
376,利
380,秋
382,末
383,未
384,妹
385,味
386,米
387,迷
389,断
395,来
396,番
398,大
401,寄
405,突
407,映
408,英
409,犬
412,然
414,太
417,漢
418,難
419,勤
424,暮
429,因
432,困
434,回
440,王
442,国
444,理
445,任
448,望
450,程
451,主
455,注
457,住
459,害
460,割
463,青
466,精
467,晴
468,情
470,生
472,性
476,遊
480,母
482,毎
484,海
487,中
497,居
504,所
508,戻
514,靴
519,見
523,現
524,親
525,兄
532,買
536,貧
539,質
543,員
546,側
549,慣
550,責
552,積
558,負
559,魚
564,売
565,続
566,読
567,窓
568,探
569,深
570,具
571,元
572,完
573,西
577,酒
580,要
582,煙
583,才
585,財
587,閉
588,夫
589,賛
592,規
596,光
597,単
601,消
604,浮
605,受
611,愛
612,客
613,落
614,格
617,路
627,吸
635,急
636,当
638,婦
640,帰
646,曜
647,工
648,空
654,与
655,写
659,号
660,考
662,式
664,試
666,代
667,貸
675,戦
677,幾
678,機
680,職
682,識
698,四
701,欠
703,歌
704,吹
707,数
710,敗
712,政
713,放
714,教
720,適
725,起
727,記
728,配
729,求
731,球
739,備
741,産
742,原
744,反
745,返
751,成
753,越
756,歳
761,気
762,決
767,感
769,同
775,旅
779,遠
780,園
783,表
792,良
793,娘
794,退
800,限
805,院
808,都
811,部
817,状
818,寝
819,北
820,背
822,制
824,告
827,先
828,洗
830,面
831,百
833,優
834,宿
836,石
840,山
851,鳥
853,鳴
855,喜
857,頭
858,夏
859,願
862,頂
864,類
865,題
869,川
876,首
877,道
879,説
884,南
885,美
888,洋
889,遅
890,着
894,議
895,様
896,天
898,笑
901,送
903,関
907,勝
909,弟
912,費
913,強
914,引
916,赤
920,変
921,長
926,険
930,験
931,金
937,銀
940,茶
942,全
944,食
945,飲
947,飯
952,余
954,途
955,除
959,界
960,合
961,給
965,答
967,今
969,念
973,命
975,冷
978,冬
979,終
980,次
982,資
984,寒
986,春
988,実
995,論
998,付
1002,守
1013,時
1014,持
1016,等
1019,父
1020,交
1021,対
1022,校
1031,演
1035,画
1036,両
1037,満
1038,出
1043,世
1044,葉
1046,歯
1054,疑
1057,医
1058,族
1059,候
1060,知
1061,失
1064,観
1066,権
1067,確
1068,車
1069,重
1071,乗
1080,連
1081,運
1087,種
1088,動
1089,働
1091,非
1093,悲
1094,罪
1099,経
1102,友
1103,抜
1107,怖
1108,右
1109,左
1110,若
1111,有
1114,差
1115,在
1116,存
1124,髪
1127,顔
1128,参
1143,店
1144,座
1148,広
1152,席
1153,度
1154,渡
1164,紙
1166,婚
1168,民
1169,眠
1170,曲
1182,登
1184,際
1185,察
1188,開
1189,発
1191,形
1192,研
1195,午
1196,許
1197,牛
1198,件
1199,特
1202,解
1204,物
1206,易
1209,陽
1211,場
1213,色
1216,晩
1217,絶
1218,勉
1220,声
1226,家
1231,行
1233,徒
1235,後
1237,待
1238,得
1241,術
1246,育
1249,流
1255,到
1257,倒
1258,去
1259,法
1261,屋
1262,室
1265,留
1267,転
1268,伝
1271,会
1272,絵
1275,掛
1281,熱
1287,風
1289,処
1293,恐
1295,投
1296,役
1299,殺
1306,真
1310,直
1311,置
1312,値
1316,別
1317,列
1320,例
1321,支
1323,彼
1327,破
1331,予
1334,野
1337,務
1338,束
1340,頼
1341,速
1344,通
1349,病
1350,痛
1351,疲
1369,申
1375,押
1376,由
1382,偶
1385,雨
1393,雪
1399,業
1405,電
1419,抱
1423,警
1425,局
1432,約
1433,的
1437,盗
1452,船
1456,猫
1467,犯
1473,御
1478,危
1481,迎
1484,服
1485,報
1488,組
1493,助
1495,祖
1498,社
1501,神
1503,福
1506,富
1508,礼
1513,初
1518,腹
1523,欲
1525,容
1537,飛
1539,習
1543,散
1546,昔
1547,借
1552,横
1553,共
1556,供
1557,選
1560,港
1569,捕
1571,構
1576,降
1577,年
1578,五
1579,語
1582,違
1583,偉
1587,舞
1590,料
1591,科
1592,図
1596,更
1598,使
1599,便
1600,身
1605,地
1607,他
1610,増
1618,官
1619,館
1621,追
1624,師
1627,労
1629,学
1630,覚
1635,常
1636,堂
1641,調
1642,週
1644,高
1646,向
1647,商
1650,過
1656,楽
1657,薬
1659,逃
1665,書
1667,事
1674,君
1676,妻
1678,争
1679,静
1683,建
1687,庭
1691,残
1709,刻
1719,期
1734,以
1735,似
1739,段
1748,誤
1759,互
